id,fiscal_year,category,amount,unit,created_at
1,2025,Paddy,2369,amount in rupees per quintal,2026-01-24 10:36:06.380194
2,2025,Maize,2400,amount in rupees per quintal,2026-01-24 10:36:06.413851
3,2025,Tur,8000,amount in rupees per quintal,2026-01-24 10:36:06.414215
4,2025,Moong,8768,amount in rupees per quintal,2026-01-24 10:36:06.414462
5,2025,Urad,7800,amount in rupees per quintal,2026-01-24 10:36:06.41469
6,2024,Paddy,2300,amount in rupees per quintal,2026-01-24 10:36:06.414914
7,2024,Maize,2225,amount in rupees per quintal,2026-01-24 10:36:06.415152
8,2024,Wheat,2425,amount in rupees per quintal,2026-01-24 10:36:06.415414
9,2024,Gram,5650,amount in rupees per quintal,2026-01-24 10:36:06.415642
10,2024,Tur,7550,amount in rupees per quintal,2026-01-24 10:36:06.415865
11,2024,Moong,8682,amount in rupees per quintal,2026-01-24 10:36:06.416109
12,2024,Urad,7400,amount in rupees per quintal,2026-01-24 10:36:06.416326
13,2023,Paddy,2183,amount in rupees per quintal,2026-01-24 10:36:06.416508
14,2023,Maize,2090,amount in rupees per quintal,2026-01-24 10:36:06.416689
15,2023,Wheat,2275,amount in rupees per quintal,2026-01-24 10:36:06.416896
16,2023,Gram,5440,amount in rupees per quintal,2026-01-24 10:36:06.417107
17,2023,Tur,7000,amount in rupees per quintal,2026-01-24 10:36:06.41737
18,2023,Moong,8558,amount in rupees per quintal,2026-01-24 10:36:06.417585
19,2023,Urad,6950,amount in rupees per quintal,2026-01-24 10:36:06.417804
20,2022,Paddy,2040,amount in rupees per quintal,2026-01-24 10:36:06.418023
21,2022,Maize,1962,amount in rupees per quintal,2026-01-24 10:36:06.418318
22,2022,Wheat,2125,amount in rupees per quintal,2026-01-24 10:36:06.41855
23,2022,Gram,5335,amount in rupees per quintal,2026-01-24 10:36:06.418789
24,2022,Tur,6600,amount in rupees per quintal,2026-01-24 10:36:06.418998
25,2022,Moong,7755,amount in rupees per quintal,2026-01-24 10:36:06.419194
26,2022,Urad,6600,amount in rupees per quintal,2026-01-24 10:36:06.419375
27,2021,Paddy,1940,amount in rupees per quintal,2026-01-24 10:36:06.419554
28,2021,Maize,1870,amount in rupees per quintal,2026-01-24 10:36:06.419715
29,2021,Wheat,2015,amount in rupees per quintal,2026-01-24 10:36:06.419883
30,2021,Gram,5230,amount in rupees per quintal,2026-01-24 10:36:06.420046
31,2021,Tur,6300,amount in rupees per quintal,2026-01-24 10:36:06.420254
32,2021,Moong,7275,amount in rupees per quintal,2026-01-24 10:36:06.420428
33,2021,Urad,6300,amount in rupees per quintal,2026-01-24 10:36:06.420589
34,2020,Paddy,1868,amount in rupees per quintal,2026-01-24 10:36:06.42077
35,2020,Maize,1850,amount in rupees per quintal,2026-01-24 10:36:06.420952
36,2020,Wheat,1975,amount in rupees per quintal,2026-01-24 10:36:06.421135
37,2020,Gram,5100,amount in rupees per quintal,2026-01-24 10:36:06.421382
38,2020,Tur,6000,amount in rupees per quintal,2026-01-24 10:36:06.421587
39,2020,Moong,7196,amount in rupees per quintal,2026-01-24 10:36:06.421812
40,2020,Urad,6000,amount in rupees per quintal,2026-01-24 10:36:06.422015
41,2019,Paddy,1815,amount in rupees per quintal,2026-01-24 10:36:06.422213
42,2019,Maize,1760,amount in rupees per quintal,2026-01-24 10:36:06.422386
43,2019,Wheat,1925,amount in rupees per quintal,2026-01-24 10:36:06.422546
44,2019,Gram,4875,amount in rupees per quintal,2026-01-24 10:36:06.422721
45,2019,Tur,5800,amount in rupees per quintal,2026-01-24 10:36:06.422886
46,2019,Moong,7050,amount in rupees per quintal,2026-01-24 10:36:06.423048
47,2019,Urad,5700,amount in rupees per quintal,2026-01-24 10:36:06.423225
48,2018,Paddy,1750,amount in rupees per quintal,2026-01-24 10:36:06.423389
49,2018,Maize,1700,amount in rupees per quintal,2026-01-24 10:36:06.423549
50,2018,Wheat,1840,amount in rupees per quintal,2026-01-24 10:36:06.42371
51,2018,Gram,4620,amount in rupees per quintal,2026-01-24 10:36:06.423869
52,2018,Tur,5675,amount in rupees per quintal,2026-01-24 10:36:06.424046
53,2018,Moong,6975,amount in rupees per quintal,2026-01-24 10:36:06.424227
54,2018,Urad,5600,amount in rupees per quintal,2026-01-24 10:36:06.424389
55,2017,Paddy,1550,amount in rupees per quintal,2026-01-24 10:36:06.424552
56,2017,Maize,1425,amount in rupees per quintal,2026-01-24 10:36:06.424719
57,2017,Wheat,1735,amount in rupees per quintal,2026-01-24 10:36:06.424881
58,2017,Gram,4400,amount in rupees per quintal,2026-01-24 10:36:06.425042
