id,fiscal_year,category,amount,unit,created_at
1,2025,Sugarcane,355,amount in rupees per quintal,2026-01-24 10:36:06.482393
2,2025,Cotton,8110,amount in rupees per quintal,2026-01-24 10:36:06.482816
3,2025,Jute,5650,amount in rupees per quintal,2026-01-24 10:36:06.483041
4,2025,Groundnut,7263,amount in rupees per quintal,2026-01-24 10:36:06.483246
5,2025,Soyabean,5328,amount in rupees per quintal,2026-01-24 10:36:06.483434
6,2025,Sunflower,7721,amount in rupees per quintal,2026-01-24 10:36:06.483612
7,2024,Sugarcane,340,amount in rupees per quintal,2026-01-24 10:36:06.483782
8,2024,Cotton,7521,amount in rupees per quintal,2026-01-24 10:36:06.483943
9,2024,Jute,5335,amount in rupees per quintal,2026-01-24 10:36:06.484116
10,2024,Groundnut,6783,amount in rupees per quintal,2026-01-24 10:36:06.484294
11,2024,Soyabean,4892,amount in rupees per quintal,2026-01-24 10:36:06.484474
12,2024,Sunflower,7280,amount in rupees per quintal,2026-01-24 10:36:06.484649
13,2024,Mustard,5950,amount in rupees per quintal,2026-01-24 10:36:06.484835
14,2024,Safflower,5940,amount in rupees per quintal,2026-01-24 10:36:06.485012
15,2023,Sugarcane,315,amount in rupees per quintal,2026-01-24 10:36:06.485209
16,2023,Cotton,7020,amount in rupees per quintal,2026-01-24 10:36:06.4854
17,2023,Jute,5050,amount in rupees per quintal,2026-01-24 10:36:06.485595
18,2023,Groundnut,6377,amount in rupees per quintal,2026-01-24 10:36:06.485789
19,2023,Soyabean,4600,amount in rupees per quintal,2026-01-24 10:36:06.485965
20,2023,Sunflower,6760,amount in rupees per quintal,2026-01-24 10:36:06.486143
21,2023,Mustard,5650,amount in rupees per quintal,2026-01-24 10:36:06.486317
22,2023,Safflower,5800,amount in rupees per quintal,2026-01-24 10:36:06.486485
23,2022,Sugarcane,305,amount in rupees per quintal,2026-01-24 10:36:06.486676
24,2022,Cotton,6380,amount in rupees per quintal,2026-01-24 10:36:06.486921
25,2022,Jute,4750,amount in rupees per quintal,2026-01-24 10:36:06.487136
26,2022,Groundnut,5850,amount in rupees per quintal,2026-01-24 10:36:06.487326
27,2022,Soyabean,4300,amount in rupees per quintal,2026-01-24 10:36:06.487509
28,2022,Sunflower,6400,amount in rupees per quintal,2026-01-24 10:36:06.48768
29,2022,Mustard,5450,amount in rupees per quintal,2026-01-24 10:36:06.48787
30,2022,Safflower,5650,amount in rupees per quintal,2026-01-24 10:36:06.488085
31,2021,Sugarcane,290,amount in rupees per quintal,2026-01-24 10:36:06.488262
32,2021,Cotton,6025,amount in rupees per quintal,2026-01-24 10:36:06.48843
33,2021,Jute,4500,amount in rupees per quintal,2026-01-24 10:36:06.488594
34,2021,Groundnut,5550,amount in rupees per quintal,2026-01-24 10:36:06.488768
35,2021,Soyabean,,amount in rupees per quintal,2026-01-24 10:36:06.488931
36,2021,Soyabean,3950,amount in rupees per quintal,2026-01-24 10:36:06.489109
37,2021,Sunflower,6015,amount in rupees per quintal,2026-01-24 10:36:06.489287
38,2021,Mustard,5050,amount in rupees per quintal,2026-01-24 10:36:06.489457
39,2021,Safflower,5441,amount in rupees per quintal,2026-01-24 10:36:06.489633
40,2020,Sugarcane,285,amount in rupees per quintal,2026-01-24 10:36:06.48981
41,2020,Cotton,5825,amount in rupees per quintal,2026-01-24 10:36:06.490147
42,2020,Jute,4225,amount in rupees per quintal,2026-01-24 10:36:06.490389
43,2020,Groundnut,5275,amount in rupees per quintal,2026-01-24 10:36:06.490614
44,2020,Soyabean,,amount in rupees per quintal,2026-01-24 10:36:06.490823
45,2020,Soyabean,3880,amount in rupees per quintal,2026-01-24 10:36:06.491012
